canonical_smiles,y_pred
CCCCCCOc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc2)c2ccc(OCCCCCC)cc2)cc1,1
C#CCOc1ccc(C=CC2=[N+]3C(=C(c4ccc(C(=O)OC)cc4)c4c(C)c(CC)c(C=Cc5ccc(OCC#C)cc5)n4[B-]3(F)F)C(C)=C2CC)cc1,1
F[B-]1(F)n2c(ccc2-c2ccccc2)C(C=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)=C2C=CC(c3ccccc3)=[N+]21,1
CCCCCCc1ccc(-c2ccc(-c3ccc(-c4c(C)cc5n4[B-](F)(F)[N+]4=C(c6ccc(-c7ccc(CCCC)s7)s6)C(C)=CC4=C5)s3)s2)s1,1
CCCCCC(C)(C)c1ccc(N(c2ccc(C3=C4C=CC(c5ccc(-c6cccs6)s5)=[N+]4[B-](F)(F)n4c3ccc4-c3ccc(-c4cccs4)s3)cc2)c2ccc(C(C)(C)CCCCC)cc2)cc1,1
COc1ccc(C2=CC3=C(c4ccc(C)cc4)c4cc(-c5ccc(OC)s5)c(-c5ccc(OC)s5)n4[B-](F)(F)[N+]3=C2c2ccc(OC)s2)s1,1
CSc1ccc(C2=CC3=C(c4ccc(C)cc4)c4cc(-c5ccc(SC)s5)c(-c5ccc(SC)s5)n4[B-](F)(F)[N+]3=C2c2ccc(SC)s2)s1,1
Cc1ccc(C2=C3C=C(c4ccc(-c5cccs5)s4)C(c4ccc(-c5cccs5)s4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(-c4cccs4)s2)c3-c2ccc(-c3cccs3)s2)cc1,1
CCc1ccc(C2=[N+]3C(=Cc4c(C=O)c(C)c(-c5ccc(CC)s5)n4[B-]3(F)F)C=C2C)s1,1
COc1ccc(C2=CC3=C(c4ccc(OC)cc4)c4cc(-c5ccc(OC)cc5)c(C=Cc5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2C=Cc2ccc(C(F)(F)F)cc2)cc1,1
COc1ccc(C2=CC3=C(c4ccc(C(F)(F)F)cc4)c4cc(-c5ccc(OC)cc5)c(C=Cc5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2C=Cc2ccc(C(F)(F)F)cc2)cc1,1
O=Cc1ccc(C2=CC3=C(c4ccc(C(F)(F)F)cc4)c4cc(-c5ccc(C=O)cc5)c(C=Cc5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2C=Cc2ccc(C(F)(F)F)cc2)cc1,1
COc1ccc(C2=CC3=C(c4ccccc4C)c4cc(-c5ccc(OC)cc5)c(C=Cc5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2C=Cc2ccc(C(F)(F)F)cc2)cc1,1
Cc1ccccc1C1=C2C=C(c3ccc(C=O)cc3)C(C=Cc3ccc(C(F)(F)F)cc3)=[N+]2[B-](F)(F)n2c1cc(-c1ccc(C=O)cc1)c2C=Cc1ccc(C(F)(F)F)cc1,1
COc1ccc(C(OCC2OC(C#Cc3ccc(C4=C5C(C)=CC(C=Cc6ccc(N(C)C)cc6)=[N+]5[B-](F)(F)n5c(C=Cc6ccc(N(C)C)cc6)cc(C)c54)cc3)CC2O)(c2ccccc2)c2ccc(OC)cc2)cc1,1
Cc1cc(C)c(C2=C3C=C(Br)C(c4ccc(C)o4)=[N+]3[B-](F)(F)n3c2cc(Br)c3-c2ccc(C)o2)c(C)c1,1
COc1ccc(C2=[N+]3C(=C(C(F)(F)F)c4c(-c5ccccc5)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,1
COC1=CC2=C(c3c(F)c(F)c(F)c(F)c3F)c3cc(OC)c(-c4cccs4)n3[B-](F)(F)[N+]2=C1c1cccs1,1
COC1=CC2=C(c3c(F)c(F)c(F)c(F)c3F)c3cc(OC)c(-c4ccsc4)n3[B-](F)(F)[N+]2=C1c1ccsc1,1
CCC1=C(C)C2=C(c3ccc(C4OCCO4)cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,1
CCC1=C(C)C2=C(c3ccc(C=O)cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,1
CCC1=C(C)C2=C(c3ccc(C=C(C#N)C(=O)O)cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,1
COc1ccc([Se](=O)c2ccc(C=CC3=[N+]4C(=C(c5ccccc5)c5c(C)cc(C=Cc6ccc([Se](=O)c7ccc(OC)cc7)cc6)n5[B-]4(F)F)C(C)=C3)cc2)cc1,1
CCCCC(CC)COc1ccc(C2=C3C=C(c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)C=[N+]3[B-](F)(F)n3cc(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)cc32)cc1,1
CCC1=C(C)C2=C(c3ccc(C(=O)NCCc4ccc([N+](=O)[O-])cc4)cc3)c3c(C)c(CC)c(C=Cc4ccc(OC)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(OC)cc1,1
CC1=CC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=[N+]2C1=C(c1ccc(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc1)c1c(C)cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)n1[B-]2(F)F,1
Cc1cc(C)c(C2=C3C=C(C=Cc4ccc(C(C)(C)C)cc4)C=[N+]3[B-](F)(F)n3cc(C=Cc4ccc(C(C)(C)C)cc4)cc32)c(C)c1,1
