canonical_smiles,y_pred,mol,SAS,MW,RSAPred
CCN(CC)c1ccc2c(c1)C(F)(F)C(=C(C#N)C#N)C=C2C#N,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C185F0>,3.497461916,324.334,8.04
CN(C)c1ccc2c(c1)S(=O)(=O)C1=CC(=[N+](C)C)C=CC1=C2c1ccccc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1A6D0>,3.230532397,391.516,9.37
CN(C)c1ccc2nn(C)c(-c3ccc(C=C(C#N)C#N)o3)c2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1B190>,3.028615123,317.352,8.61
COc1ccc(-c2cccc3c2n[n+](-c2ccccc2)c2cc(OC)ccc32)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1B350>,2.502003753,393.466,8.07
CCN1C(=CC=CC=CC=Cc2oc3ccccc3[n+]2CC)Oc2ccccc21,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1B7B0>,3.21374836,385.487,9.05
COc1ccc2c(c1)CCc1cc3c([o+]c1-2)-c1ccc(N(C)C)cc1CC3,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1C510>,2.972757915,358.461,8.39
CN(C)c1ccc2c(c1)CCc1cc3c([o+]c1-2)-c1ccc(N)cc1CC3,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1C580>,3.092795643,343.45,8.62
CN(C)c1ccc2c(c1)CCc1cc3c([o+]c1-2)-c1ccc(N(C)C)cc1CC3,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1C5F0>,3.107088699,371.504,8.46
CCN(CC)c1ccc(C=CC2=CC(=C(C#N)C#N)CC(C)(C)C2)c(O)c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1C900>,3.280464215,361.489,8.02
CN(C)C(=O)Oc1ccc(C=CC2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1D3C0>,3.09045382,361.445,8.18
CC1(C)CC(C=Cc2ccc(O)c(N)c2)=CC(=C(C#N)C#N)C1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1D510>,3.265889224,305.381,8.19
CC[NH+]=c1cc2oc3c(ccc4cc(N(CC)CC)ccc43)nc-2c(C)c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C1FEB0>,3.376929358,360.481,9.38
CCN(CC)c1ccc(C2=C(O)C(=CC3=Nc4ccccc4C3(C)C)C2=O)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C20970>,2.976357229,386.495,8.25
CN(C)c1ccc2c(c1)OC(=C(C#N)c1cc[n+](C)cc1)C=C2C(F)(F)F,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23040>,3.455382303,372.37,8.3
COCCOC(=O)C(C#N)=CC=Cc1ccc2cc(N(C)C)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23200>,2.589454568,350.418,8.02
COCCOC(=O)C(C#N)=CC=CC=Cc1ccc2cc(N(C)C)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23270>,2.754201897,376.456,8.31
CN(C)c1ccc2cc(C=CC=C(C#N)C(=O)OCCO)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C235F0>,2.626274093,336.391,8.42
CN(C)c1ccc2cc(C=CC=C(C#N)C(=O)OCCOCCO)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23660>,2.697574633,380.444,8.15
Nc1ccc2c(c1)Cc1c-2[o+]c2c(c1-c1ccccc1)Cc1cc(N)ccc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23890>,3.018461578,363.44,9.25
COc1ccccc1-c1c2c([o+]c3c1Cc1cc(N)ccc1-3)-c1ccc(N)cc1C2,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C23900>,3.079789683,393.466,8.93
Nc1ccc2c(c1)CCc1c-2[o+]c2c(c1-c1ccccc1)CCc1cc(N)ccc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C239E0>,2.99087683,391.494,9.58
CN(C)c1ccc2c(c1)OC(=CC=Cc1cc[n+](C)cc1)C=C2C(F)(F)F,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C24580>,3.357841039,373.398,8.33
CC[NH+]=c1cc2oc3cc(NCCO)c4ccccc4c3nc-2cc1C,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C275F0>,3.308304566,348.426,10.01
N#CC(C#N)=Cc1ccc(-c2ccc(O)c(-c3nc4ccccc4s3)c2)o1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C286D0>,2.684243122,369.405,8.12
CC[n+]1ccc2ccccc2c1C=Cc1c([O-])ccc2ccc(=O)oc12,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C29580>,3.367684259,343.382,8.43
CCCCOc1ccc(C=CC=CC=Cc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000025062C29970>,2.302427643,349.43,8.02
